,,timestamp,Open,High,Low,Close,Volume,ema,sma,bb_high_indicator,bb_low_indicator
1618070400000.0,2021-04-10 16:00:00,60550.0,60116.14,60265.0,2397.70075,144651593.66828296,119963.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618066800000.0,2021-04-10 15:00:00,60465.94,60106.85,60247.26,2082.226622,125500254.61093268,97059.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618063200000.0,2021-04-10 14:00:00,60499.0,60255.0,60398.19,2006.878229,121180340.18009196,71480.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618059600000.0,2021-04-10 13:00:00,60490.0,59981.06,60465.89,2381.214252,143341402.151616,88521.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618056000000.0,2021-04-10 12:00:00,60800.0,59811.74,60088.62,3523.271144,212493061.6194049,106545.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618052400000.0,2021-04-10 11:00:00,60723.38,60500.0,60575.94,1553.650081,94173384.29063629,64157.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618048800000.0,2021-04-10 10:00:00,60997.18,60515.88,60659.02,1957.635669,118883693.96547684,98198.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618045200000.0,2021-04-10 09:00:00,60803.0,60452.65,60772.73,1891.513568,114721311.47141944,90066.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618041600000.0,2021-04-10 08:00:00,60821.58,60338.54,60534.89,2426.387609,147117530.2173806,90023.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618038000000.0,2021-04-10 07:00:00,60816.9,60333.0,60480.4,3925.458861,237688265.72371247,100981.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
1618034400000.0,2021-04-10 06:00:00,61050.0,60521.01,60576.8,2869.435605,174215756.70206985,81779.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,0.0,0.0
1618030800000.0,2021-04-10 05:00:00,61500.0,60663.1,60851.92,5998.781763,366283703.4354068,165758.0,<ta.trend.EMAIndicator object at 0x000002BD41B27370>,<ta.trend.SMAIndicator object at 0x000002BD5983D790>,1.0,0.0
